id,category,context,mistake_text,correct_text
44,spelling,marketing report,"the website was very slow, we fixed it","The website was very slow, so we fixed it."
45,punctuation,design task,i have five year experience in web design,I have five years of experience in web design.
46,tense,development project,she work from home every Friday,She works from home every Friday.
47,word_usage,monthly report,he dont knows the answer,He doesn't know the answer.
48,subject_verb_agreement,job application,we has finished the work,We have finished the work.
49,preposition,team meeting,before the deadline i go to the office yesterday,Before the deadline i went to the office yesterday
50,grammar,landing page,yesterday she dont like the new design,Yesterday she doesn't like the new design
51,spelling,company website,today he have completed the task,Today he has completed the task
52,punctuation,content update,last week we was working on the website,Last week we were working on the website
53,tense,social media campaign,this morning the pages is loading slowly,This morning the pages are loading slowly
54,word_usage,analytics report,during the meeting please send me the file tommorow,During the meeting please send me the file tomorrow
55,subject_verb_agreement,business proposal,after the call i didnt receive your email,After the call i didn't receive your email
56,preposition,email campaign,before the deadline the client are happy with the result,Before the deadline the client is happy with the result
57,grammar,product launch,yesterday she have three years experience,Yesterday she has three years of experience
58,spelling,website audit,today we need to improves the website,Today we need to improve the website
59,punctuation,keyword research,last week he did not went to the meeting,Last week he did not go to the meeting
60,tense,performance review,this morning i am looking forward to meet you,This morning i am looking forward to meeting you
61,word_usage,website project,during the meeting there is many errors in the report,During the meeting there are many errors in the report
62,subject_verb_agreement,SEO campaign,after the call she is good in SEO,After the call she is good at SEO
63,preposition,client meeting,before the deadline please reply me as soon as possible,Before the deadline please reply to me as soon as possible
64,grammar,marketing report,yesterday the website dont work on mobile,Yesterday the website doesn't work on mobile
65,spelling,design task,today i have finish the project,Today i have finished the project
66,punctuation,development project,last week they was waiting for the client,Last week they were waiting for the client
67,tense,monthly report,this morning he can speaks English well,This morning he can speak English well
68,word_usage,job application,during the meeting we discussed about the issue,During the meeting we discussed the issue
69,subject_verb_agreement,team meeting,after the call i need an information about the job,After the call i need information about the job
70,preposition,landing page,before the deadline she bought a new laptop yesterday,Before the deadline she bought a new laptop yesterday
71,grammar,company website,yesterday the content have many mistakes,Yesterday the content has many mistakes
72,spelling,content update,today our manager give us new tasks,Today our manager gives us new tasks
73,punctuation,social media campaign,last week i will sent the report tonight,Last week i will send the report tonight
74,tense,analytics report,this morning he is working here since 2023,This morning he has been working here since 2023
75,word_usage,business proposal,during the meeting the mobile version did not looked good,During the meeting the mobile version did not look good
76,subject_verb_agreement,email campaign,after the call i forgeted to attach the document,After the call i forgot to attach the document
77,preposition,product launch,before the deadline this is more better than the old version,Before the deadline this is better than the old version
78,grammar,website audit,yesterday she suggested me to apply,Yesterday she suggested that I apply
79,spelling,keyword research,today we need more informations,Today we need more information
80,punctuation,performance review,last week each employees has an account,Last week each employee has an account
81,tense,website project,this morning the team are ready for the meeting,This morning the team is ready for the meeting
82,word_usage,SEO campaign,during the meeting i am agree with your idea,During the meeting i agree with your idea
83,subject_verb_agreement,client meeting,after the call he explained me the process,After the call he explained the process to me
84,preposition,marketing report,before the deadline she is married with a doctor,Before the deadline she is married to a doctor
85,grammar,design task,yesterday i am interested on this position,Yesterday i am interested in this position
86,spelling,development project,today please check if there is any mistakes,Today please check if there are any mistakes
87,punctuation,monthly report,last week we will discussed it tomorrow,Last week we will discuss it tomorrow
88,tense,job application,this morning did you completed the work,This morning did you complete the work
89,word_usage,team meeting,during the meeting where you are going,During the meeting where are you going?
90,subject_verb_agreement,landing page,after the call what time the meeting starts,After the call what time does the meeting start?
91,preposition,company website,before the deadline yesterday i visited the client,"Before the deadline yesterday, I visited the client."
92,grammar,content update,"yesterday the website was very slow, we fixed it","Yesterday the website was very slow, so we fixed it."
93,spelling,social media campaign,today i have five year experience in web design,Today i have five years of experience in web design.
94,punctuation,analytics report,last week she work from home every Friday,Last week she works from home every Friday.
95,tense,business proposal,this morning he dont knows the answer,This morning he doesn't know the answer.
96,word_usage,email campaign,during the meeting we has finished the work,During the meeting we have finished the work.
97,subject_verb_agreement,product launch,after the call i go to the office yesterday,After the call i went to the office yesterday
98,preposition,website audit,before the deadline she dont like the new design,Before the deadline she doesn't like the new design
99,grammar,keyword research,yesterday he have completed the task,Yesterday he has completed the task
100,spelling,performance review,today we was working on the website,Today we were working on the website
101,punctuation,website project,last week the pages is loading slowly,Last week the pages are loading slowly
102,tense,SEO campaign,this morning please send me the file tommorow,This morning please send me the file tomorrow
103,word_usage,client meeting,during the meeting i didnt receive your email,During the meeting i didn't receive your email
104,subject_verb_agreement,marketing report,after the call the client are happy with the result,After the call the client is happy with the result
105,preposition,design task,before the deadline she have three years experience,Before the deadline she has three years of experience
106,grammar,development project,yesterday we need to improves the website,Yesterday we need to improve the website
107,spelling,monthly report,today he did not went to the meeting,Today he did not go to the meeting
108,punctuation,job application,last week i am looking forward to meet you,Last week i am looking forward to meeting you
109,tense,team meeting,this morning there is many errors in the report,This morning there are many errors in the report
110,word_usage,landing page,during the meeting she is good in SEO,During the meeting she is good at SEO
111,subject_verb_agreement,company website,after the call please reply me as soon as possible,After the call please reply to me as soon as possible
112,preposition,content update,before the deadline the website dont work on mobile,Before the deadline the website doesn't work on mobile
113,grammar,social media campaign,yesterday i have finish the project,Yesterday i have finished the project
114,spelling,analytics report,today they was waiting for the client,Today they were waiting for the client
115,punctuation,business proposal,last week he can speaks English well,Last week he can speak English well
116,tense,email campaign,this morning we discussed about the issue,This morning we discussed the issue
117,word_usage,product launch,during the meeting i need an information about the job,During the meeting i need information about the job
118,subject_verb_agreement,website audit,after the call she bought a new laptop yesterday,After the call she bought a new laptop yesterday
119,preposition,keyword research,before the deadline the content have many mistakes,Before the deadline the content has many mistakes
120,grammar,performance review,yesterday our manager give us new tasks,Yesterday our manager gives us new tasks
121,spelling,website project,today i will sent the report tonight,Today i will send the report tonight
122,punctuation,SEO campaign,last week he is working here since 2023,Last week he has been working here since 2023
123,tense,client meeting,this morning the mobile version did not looked good,This morning the mobile version did not look good
124,word_usage,marketing report,during the meeting i forgeted to attach the document,During the meeting i forgot to attach the document
125,subject_verb_agreement,design task,after the call this is more better than the old version,After the call this is better than the old version
126,preposition,development project,before the deadline she suggested me to apply,Before the deadline she suggested that I apply
127,grammar,monthly report,yesterday we need more informations,Yesterday we need more information
128,spelling,job application,today each employees has an account,Today each employee has an account
129,punctuation,team meeting,last week the team are ready for the meeting,Last week the team is ready for the meeting
130,tense,landing page,this morning i am agree with your idea,This morning i agree with your idea
131,word_usage,company website,during the meeting he explained me the process,During the meeting he explained the process to me
132,subject_verb_agreement,content update,after the call she is married with a doctor,After the call she is married to a doctor
133,preposition,social media campaign,before the deadline i am interested on this position,Before the deadline i am interested in this position
134,grammar,analytics report,yesterday please check if there is any mistakes,Yesterday please check if there are any mistakes
135,spelling,business proposal,today we will discussed it tomorrow,Today we will discuss it tomorrow
136,punctuation,email campaign,last week did you completed the work,Last week did you complete the work
137,tense,product launch,this morning where you are going,This morning where are you going?
138,word_usage,website audit,during the meeting what time the meeting starts,During the meeting what time does the meeting start?
139,subject_verb_agreement,keyword research,after the call yesterday i visited the client,"After the call yesterday, I visited the client."
140,preposition,performance review,"before the deadline the website was very slow, we fixed it","Before the deadline the website was very slow, so we fixed it."
141,grammar,website project,yesterday i have five year experience in web design,Yesterday i have five years of experience in web design.
142,spelling,SEO campaign,today she work from home every Friday,Today she works from home every Friday.
143,punctuation,client meeting,last week he dont knows the answer,Last week he doesn't know the answer.
144,tense,marketing report,this morning we has finished the work,This morning we have finished the work.
145,word_usage,design task,during the meeting i go to the office yesterday,During the meeting i went to the office yesterday
146,subject_verb_agreement,development project,after the call she dont like the new design,After the call she doesn't like the new design
147,preposition,monthly report,before the deadline he have completed the task,Before the deadline he has completed the task
148,grammar,job application,yesterday we was working on the website,Yesterday we were working on the website
149,spelling,team meeting,today the pages is loading slowly,Today the pages are loading slowly
150,punctuation,landing page,last week please send me the file tommorow,Last week please send me the file tomorrow
151,tense,company website,this morning i didnt receive your email,This morning i didn't receive your email
152,word_usage,content update,during the meeting the client are happy with the result,During the meeting the client is happy with the result
153,subject_verb_agreement,social media campaign,after the call she have three years experience,After the call she has three years of experience
154,preposition,analytics report,before the deadline we need to improves the website,Before the deadline we need to improve the website
155,grammar,business proposal,yesterday he did not went to the meeting,Yesterday he did not go to the meeting
156,spelling,email campaign,today i am looking forward to meet you,Today i am looking forward to meeting you
157,punctuation,product launch,last week there is many errors in the report,Last week there are many errors in the report
158,tense,website audit,this morning she is good in SEO,This morning she is good at SEO
159,word_usage,keyword research,during the meeting please reply me as soon as possible,During the meeting please reply to me as soon as possible
160,subject_verb_agreement,performance review,after the call the website dont work on mobile,After the call the website doesn't work on mobile
161,preposition,website project,before the deadline i have finish the project,Before the deadline i have finished the project
162,grammar,SEO campaign,yesterday they was waiting for the client,Yesterday they were waiting for the client
163,spelling,client meeting,today he can speaks English well,Today he can speak English well
164,punctuation,marketing report,last week we discussed about the issue,Last week we discussed the issue
165,tense,design task,this morning i need an information about the job,This morning i need information about the job
166,word_usage,development project,during the meeting she bought a new laptop yesterday,During the meeting she bought a new laptop yesterday
167,subject_verb_agreement,monthly report,after the call the content have many mistakes,After the call the content has many mistakes
168,preposition,job application,before the deadline our manager give us new tasks,Before the deadline our manager gives us new tasks
169,grammar,team meeting,yesterday i will sent the report tonight,Yesterday i will send the report tonight
170,spelling,landing page,today he is working here since 2023,Today he has been working here since 2023
171,punctuation,company website,last week the mobile version did not looked good,Last week the mobile version did not look good
172,tense,content update,this morning i forgeted to attach the document,This morning i forgot to attach the document
173,word_usage,social media campaign,during the meeting this is more better than the old version,During the meeting this is better than the old version
174,subject_verb_agreement,analytics report,after the call she suggested me to apply,After the call she suggested that I apply
175,preposition,business proposal,before the deadline we need more informations,Before the deadline we need more information
176,grammar,email campaign,yesterday each employees has an account,Yesterday each employee has an account
177,spelling,product launch,today the team are ready for the meeting,Today the team is ready for the meeting
178,punctuation,website audit,last week i am agree with your idea,Last week i agree with your idea
179,tense,keyword research,this morning he explained me the process,This morning he explained the process to me
180,word_usage,performance review,during the meeting she is married with a doctor,During the meeting she is married to a doctor
181,subject_verb_agreement,website project,after the call i am interested on this position,After the call i am interested in this position
182,preposition,SEO campaign,before the deadline please check if there is any mistakes,Before the deadline please check if there are any mistakes
183,grammar,client meeting,yesterday we will discussed it tomorrow,Yesterday we will discuss it tomorrow
184,spelling,marketing report,today did you completed the work,Today did you complete the work
185,punctuation,design task,last week where you are going,Last week where are you going?
186,tense,development project,this morning what time the meeting starts,This morning what time does the meeting start?
187,word_usage,monthly report,during the meeting yesterday i visited the client,"During the meeting yesterday, I visited the client."
188,subject_verb_agreement,job application,"after the call the website was very slow, we fixed it","After the call the website was very slow, so we fixed it."
189,preposition,team meeting,before the deadline i have five year experience in web design,Before the deadline i have five years of experience in web design.
190,grammar,landing page,yesterday she work from home every Friday,Yesterday she works from home every Friday.
191,spelling,company website,today he dont knows the answer,Today he doesn't know the answer.
192,punctuation,content update,last week we has finished the work,Last week we have finished the work.
193,tense,social media campaign,this morning i go to the office yesterday,This morning i went to the office yesterday
194,word_usage,analytics report,during the meeting she dont like the new design,During the meeting she doesn't like the new design
195,subject_verb_agreement,business proposal,after the call he have completed the task,After the call he has completed the task
196,preposition,email campaign,before the deadline we was working on the website,Before the deadline we were working on the website
197,grammar,product launch,yesterday the pages is loading slowly,Yesterday the pages are loading slowly
198,spelling,website audit,today please send me the file tommorow,Today please send me the file tomorrow
199,punctuation,keyword research,last week i didnt receive your email,Last week i didn't receive your email
200,tense,performance review,this morning the client are happy with the result,This morning the client is happy with the result
201,word_usage,website project,during the meeting she have three years experience,During the meeting she has three years of experience
202,subject_verb_agreement,SEO campaign,after the call we need to improves the website,After the call we need to improve the website
203,preposition,client meeting,before the deadline he did not went to the meeting,Before the deadline he did not go to the meeting
204,grammar,marketing report,yesterday i am looking forward to meet you,Yesterday i am looking forward to meeting you
205,spelling,design task,today there is many errors in the report,Today there are many errors in the report
206,punctuation,development project,last week she is good in SEO,Last week she is good at SEO
207,tense,monthly report,this morning please reply me as soon as possible,This morning please reply to me as soon as possible
208,word_usage,job application,during the meeting the website dont work on mobile,During the meeting the website doesn't work on mobile
209,subject_verb_agreement,team meeting,after the call i have finish the project,After the call i have finished the project
210,preposition,landing page,before the deadline they was waiting for the client,Before the deadline they were waiting for the client
211,grammar,company website,yesterday he can speaks English well,Yesterday he can speak English well
212,spelling,content update,today we discussed about the issue,Today we discussed the issue
213,punctuation,social media campaign,last week i need an information about the job,Last week i need information about the job
214,tense,analytics report,this morning she bought a new laptop yesterday,This morning she bought a new laptop yesterday
215,word_usage,business proposal,during the meeting the content have many mistakes,During the meeting the content has many mistakes
216,subject_verb_agreement,email campaign,after the call our manager give us new tasks,After the call our manager gives us new tasks
217,preposition,product launch,before the deadline i will sent the report tonight,Before the deadline i will send the report tonight
218,grammar,website audit,yesterday he is working here since 2023,Yesterday he has been working here since 2023
219,spelling,keyword research,today the mobile version did not looked good,Today the mobile version did not look good
220,punctuation,performance review,last week i forgeted to attach the document,Last week i forgot to attach the document
221,tense,website project,this morning this is more better than the old version,This morning this is better than the old version
222,word_usage,SEO campaign,during the meeting she suggested me to apply,During the meeting she suggested that I apply
223,subject_verb_agreement,client meeting,after the call we need more informations,After the call we need more information
224,preposition,marketing report,before the deadline each employees has an account,Before the deadline each employee has an account
225,grammar,design task,yesterday the team are ready for the meeting,Yesterday the team is ready for the meeting
226,spelling,development project,today i am agree with your idea,Today i agree with your idea
227,punctuation,monthly report,last week he explained me the process,Last week he explained the process to me
228,tense,job application,this morning she is married with a doctor,This morning she is married to a doctor
229,word_usage,team meeting,during the meeting i am interested on this position,During the meeting i am interested in this position
230,subject_verb_agreement,landing page,after the call please check if there is any mistakes,After the call please check if there are any mistakes
231,preposition,company website,before the deadline we will discussed it tomorrow,Before the deadline we will discuss it tomorrow
232,grammar,content update,yesterday did you completed the work,Yesterday did you complete the work
233,spelling,social media campaign,today where you are going,Today where are you going?
234,punctuation,analytics report,last week what time the meeting starts,Last week what time does the meeting start?
235,tense,business proposal,this morning yesterday i visited the client,"This morning yesterday, I visited the client."
236,word_usage,email campaign,"during the meeting the website was very slow, we fixed it","During the meeting the website was very slow, so we fixed it."
237,subject_verb_agreement,product launch,after the call i have five year experience in web design,After the call i have five years of experience in web design.
238,preposition,website audit,before the deadline she work from home every Friday,Before the deadline she works from home every Friday.
239,grammar,keyword research,yesterday he dont knows the answer,Yesterday he doesn't know the answer.
240,spelling,performance review,today we has finished the work,Today we have finished the work.
241,punctuation,website project,last week i go to the office yesterday,Last week i went to the office yesterday
242,tense,SEO campaign,this morning she dont like the new design,This morning she doesn't like the new design
243,word_usage,client meeting,during the meeting he have completed the task,During the meeting he has completed the task
244,subject_verb_agreement,marketing report,after the call we was working on the website,After the call we were working on the website
245,preposition,design task,before the deadline the pages is loading slowly,Before the deadline the pages are loading slowly
246,grammar,development project,yesterday please send me the file tommorow,Yesterday please send me the file tomorrow
247,spelling,monthly report,today i didnt receive your email,Today i didn't receive your email
248,punctuation,job application,last week the client are happy with the result,Last week the client is happy with the result
249,tense,team meeting,this morning she have three years experience,This morning she has three years of experience
250,word_usage,landing page,during the meeting we need to improves the website,During the meeting we need to improve the website
251,subject_verb_agreement,company website,after the call he did not went to the meeting,After the call he did not go to the meeting
252,preposition,content update,before the deadline i am looking forward to meet you,Before the deadline i am looking forward to meeting you
253,grammar,social media campaign,yesterday there is many errors in the report,Yesterday there are many errors in the report
254,spelling,analytics report,today she is good in SEO,Today she is good at SEO
255,punctuation,business proposal,last week please reply me as soon as possible,Last week please reply to me as soon as possible
256,tense,email campaign,this morning the website dont work on mobile,This morning the website doesn't work on mobile
257,word_usage,product launch,during the meeting i have finish the project,During the meeting i have finished the project
258,subject_verb_agreement,website audit,after the call they was waiting for the client,After the call they were waiting for the client
259,preposition,keyword research,before the deadline he can speaks English well,Before the deadline he can speak English well
260,grammar,performance review,yesterday we discussed about the issue,Yesterday we discussed the issue
261,spelling,website project,today i need an information about the job,Today i need information about the job
262,punctuation,SEO campaign,last week she bought a new laptop yesterday,Last week she bought a new laptop yesterday
263,tense,client meeting,this morning the content have many mistakes,This morning the content has many mistakes
264,word_usage,marketing report,during the meeting our manager give us new tasks,During the meeting our manager gives us new tasks
265,subject_verb_agreement,design task,after the call i will sent the report tonight,After the call i will send the report tonight
266,preposition,development project,before the deadline he is working here since 2023,Before the deadline he has been working here since 2023
267,grammar,monthly report,yesterday the mobile version did not looked good,Yesterday the mobile version did not look good
268,spelling,job application,today i forgeted to attach the document,Today i forgot to attach the document
269,punctuation,team meeting,last week this is more better than the old version,Last week this is better than the old version
270,tense,landing page,this morning she suggested me to apply,This morning she suggested that I apply
271,word_usage,company website,during the meeting we need more informations,During the meeting we need more information
272,subject_verb_agreement,content update,after the call each employees has an account,After the call each employee has an account
273,preposition,social media campaign,before the deadline the team are ready for the meeting,Before the deadline the team is ready for the meeting
274,grammar,analytics report,yesterday i am agree with your idea,Yesterday i agree with your idea
275,spelling,business proposal,today he explained me the process,Today he explained the process to me
276,punctuation,email campaign,last week she is married with a doctor,Last week she is married to a doctor
277,tense,product launch,this morning i am interested on this position,This morning i am interested in this position
278,word_usage,website audit,during the meeting please check if there is any mistakes,During the meeting please check if there are any mistakes
279,subject_verb_agreement,keyword research,after the call we will discussed it tomorrow,After the call we will discuss it tomorrow
280,preposition,performance review,before the deadline did you completed the work,Before the deadline did you complete the work
281,grammar,website project,yesterday where you are going,Yesterday where are you going?
282,spelling,SEO campaign,today what time the meeting starts,Today what time does the meeting start?
283,punctuation,client meeting,last week yesterday i visited the client,"Last week yesterday, I visited the client."
284,tense,marketing report,"this morning the website was very slow, we fixed it","This morning the website was very slow, so we fixed it."
285,word_usage,design task,during the meeting i have five year experience in web design,During the meeting i have five years of experience in web design.
286,subject_verb_agreement,development project,after the call she work from home every Friday,After the call she works from home every Friday.
287,preposition,monthly report,before the deadline he dont knows the answer,Before the deadline he doesn't know the answer.
288,grammar,job application,yesterday we has finished the work,Yesterday we have finished the work.
289,spelling,team meeting,today i go to the office yesterday,Today i went to the office yesterday
290,punctuation,landing page,last week she dont like the new design,Last week she doesn't like the new design
291,tense,company website,this morning he have completed the task,This morning he has completed the task
292,word_usage,content update,during the meeting we was working on the website,During the meeting we were working on the website
293,subject_verb_agreement,social media campaign,after the call the pages is loading slowly,After the call the pages are loading slowly
294,preposition,analytics report,before the deadline please send me the file tommorow,Before the deadline please send me the file tomorrow
295,grammar,business proposal,yesterday i didnt receive your email,Yesterday i didn't receive your email
296,spelling,email campaign,today the client are happy with the result,Today the client is happy with the result
297,punctuation,product launch,last week she have three years experience,Last week she has three years of experience
298,tense,website audit,this morning we need to improves the website,This morning we need to improve the website
299,word_usage,keyword research,during the meeting he did not went to the meeting,During the meeting he did not go to the meeting
300,subject_verb_agreement,performance review,after the call i am looking forward to meet you,After the call i am looking forward to meeting you
301,preposition,website project,before the deadline there is many errors in the report,Before the deadline there are many errors in the report
302,grammar,SEO campaign,yesterday she is good in SEO,Yesterday she is good at SEO
303,spelling,client meeting,today please reply me as soon as possible,Today please reply to me as soon as possible
304,punctuation,marketing report,last week the website dont work on mobile,Last week the website doesn't work on mobile
305,tense,design task,this morning i have finish the project,This morning i have finished the project
306,word_usage,development project,during the meeting they was waiting for the client,During the meeting they were waiting for the client
307,subject_verb_agreement,monthly report,after the call he can speaks English well,After the call he can speak English well
308,preposition,job application,before the deadline we discussed about the issue,Before the deadline we discussed the issue
309,grammar,team meeting,yesterday i need an information about the job,Yesterday i need information about the job
310,spelling,landing page,today she bought a new laptop yesterday,Today she bought a new laptop yesterday
311,punctuation,company website,last week the content have many mistakes,Last week the content has many mistakes
312,tense,content update,this morning our manager give us new tasks,This morning our manager gives us new tasks
313,word_usage,social media campaign,during the meeting i will sent the report tonight,During the meeting i will send the report tonight
314,subject_verb_agreement,analytics report,after the call he is working here since 2023,After the call he has been working here since 2023
315,preposition,business proposal,before the deadline the mobile version did not looked good,Before the deadline the mobile version did not look good
316,grammar,email campaign,yesterday i forgeted to attach the document,Yesterday i forgot to attach the document
317,spelling,product launch,today this is more better than the old version,Today this is better than the old version
318,punctuation,website audit,last week she suggested me to apply,Last week she suggested that I apply
319,tense,keyword research,this morning we need more informations,This morning we need more information
320,word_usage,performance review,during the meeting each employees has an account,During the meeting each employee has an account
321,subject_verb_agreement,website project,after the call the team are ready for the meeting,After the call the team is ready for the meeting
322,preposition,SEO campaign,before the deadline i am agree with your idea,Before the deadline i agree with your idea
323,grammar,client meeting,yesterday he explained me the process,Yesterday he explained the process to me
324,spelling,marketing report,today she is married with a doctor,Today she is married to a doctor
325,punctuation,design task,last week i am interested on this position,Last week i am interested in this position
326,tense,development project,this morning please check if there is any mistakes,This morning please check if there are any mistakes
327,word_usage,monthly report,during the meeting we will discussed it tomorrow,During the meeting we will discuss it tomorrow
328,subject_verb_agreement,job application,after the call did you completed the work,After the call did you complete the work
329,preposition,team meeting,before the deadline where you are going,Before the deadline where are you going?
330,grammar,landing page,yesterday what time the meeting starts,Yesterday what time does the meeting start?
331,spelling,company website,today yesterday i visited the client,"Today yesterday, I visited the client."
332,punctuation,content update,"last week the website was very slow, we fixed it","Last week the website was very slow, so we fixed it."
333,tense,social media campaign,this morning i have five year experience in web design,This morning i have five years of experience in web design.
334,word_usage,analytics report,during the meeting she work from home every Friday,During the meeting she works from home every Friday.
335,subject_verb_agreement,business proposal,after the call he dont knows the answer,After the call he doesn't know the answer.
336,preposition,email campaign,before the deadline we has finished the work,Before the deadline we have finished the work.
337,grammar,product launch,yesterday i go to the office yesterday,Yesterday i went to the office yesterday
338,spelling,website audit,today she dont like the new design,Today she doesn't like the new design
339,punctuation,keyword research,last week he have completed the task,Last week he has completed the task
340,tense,performance review,this morning we was working on the website,This morning we were working on the website
341,word_usage,website project,during the meeting the pages is loading slowly,During the meeting the pages are loading slowly
342,subject_verb_agreement,SEO campaign,after the call please send me the file tommorow,After the call please send me the file tomorrow
343,preposition,client meeting,before the deadline i didnt receive your email,Before the deadline i didn't receive your email
344,grammar,marketing report,yesterday the client are happy with the result,Yesterday the client is happy with the result
345,spelling,design task,today she have three years experience,Today she has three years of experience
346,punctuation,development project,last week we need to improves the website,Last week we need to improve the website
347,tense,monthly report,this morning he did not went to the meeting,This morning he did not go to the meeting
348,word_usage,job application,during the meeting i am looking forward to meet you,During the meeting i am looking forward to meeting you
349,subject_verb_agreement,team meeting,after the call there is many errors in the report,After the call there are many errors in the report
350,preposition,landing page,before the deadline she is good in SEO,Before the deadline she is good at SEO
351,grammar,company website,yesterday please reply me as soon as possible,Yesterday please reply to me as soon as possible
352,spelling,content update,today the website dont work on mobile,Today the website doesn't work on mobile
353,punctuation,social media campaign,last week i have finish the project,Last week i have finished the project
354,tense,analytics report,this morning they was waiting for the client,This morning they were waiting for the client
355,word_usage,business proposal,during the meeting he can speaks English well,During the meeting he can speak English well
356,subject_verb_agreement,email campaign,after the call we discussed about the issue,After the call we discussed the issue
357,preposition,product launch,before the deadline i need an information about the job,Before the deadline i need information about the job
358,grammar,website audit,yesterday she bought a new laptop yesterday,Yesterday she bought a new laptop yesterday
359,spelling,keyword research,today the content have many mistakes,Today the content has many mistakes
360,punctuation,performance review,last week our manager give us new tasks,Last week our manager gives us new tasks
361,tense,website project,this morning i will sent the report tonight,This morning i will send the report tonight
362,word_usage,SEO campaign,during the meeting he is working here since 2023,During the meeting he has been working here since 2023
363,subject_verb_agreement,client meeting,after the call the mobile version did not looked good,After the call the mobile version did not look good
364,preposition,marketing report,before the deadline i forgeted to attach the document,Before the deadline i forgot to attach the document
365,grammar,design task,yesterday this is more better than the old version,Yesterday this is better than the old version
366,spelling,development project,today she suggested me to apply,Today she suggested that I apply
367,punctuation,monthly report,last week we need more informations,Last week we need more information
368,tense,job application,this morning each employees has an account,This morning each employee has an account
369,word_usage,team meeting,during the meeting the team are ready for the meeting,During the meeting the team is ready for the meeting
370,subject_verb_agreement,landing page,after the call i am agree with your idea,After the call i agree with your idea
371,preposition,company website,before the deadline he explained me the process,Before the deadline he explained the process to me
372,grammar,content update,yesterday she is married with a doctor,Yesterday she is married to a doctor
373,spelling,social media campaign,today i am interested on this position,Today i am interested in this position
374,punctuation,analytics report,last week please check if there is any mistakes,Last week please check if there are any mistakes
375,tense,business proposal,this morning we will discussed it tomorrow,This morning we will discuss it tomorrow
376,word_usage,email campaign,during the meeting did you completed the work,During the meeting did you complete the work
377,subject_verb_agreement,product launch,after the call where you are going,After the call where are you going?
378,preposition,website audit,before the deadline what time the meeting starts,Before the deadline what time does the meeting start?
379,grammar,keyword research,yesterday yesterday i visited the client,"Yesterday yesterday, I visited the client."
380,spelling,performance review,"today the website was very slow, we fixed it","Today the website was very slow, so we fixed it."
381,punctuation,website project,last week i have five year experience in web design,Last week i have five years of experience in web design.
382,tense,SEO campaign,this morning she work from home every Friday,This morning she works from home every Friday.
383,word_usage,client meeting,during the meeting he dont knows the answer,During the meeting he doesn't know the answer.
384,subject_verb_agreement,marketing report,after the call we has finished the work,After the call we have finished the work.
385,preposition,design task,before the deadline i go to the office yesterday,Before the deadline i went to the office yesterday
386,grammar,development project,yesterday she dont like the new design,Yesterday she doesn't like the new design
387,spelling,monthly report,today he have completed the task,Today he has completed the task
